function_id,name,tier,confidence,export_name,signature,Classic/1.00,Classic/1.01,Classic/1.02,Classic/1.03,Classic/1.04b,Classic/1.04c,Classic/1.05,Classic/1.05b,Classic/1.06,Classic/1.06b,Classic/1.08,Classic/1.09,Classic/1.09b,Classic/1.09d,Classic/1.10,Classic/1.11,Classic/1.11b,Classic/1.12a,Classic/1.13c,Classic/1.13d,LoD/1.07,LoD/1.08,LoD/1.09,LoD/1.09b,LoD/1.09d,LoD/1.10,LoD/1.11,LoD/1.11b,LoD/1.12a,LoD/1.13c,LoD/1.13d
func_25869,CalculateThirdBasedIndex,2,0.9,,int CalculateThirdBasedIndex(int totalValue),,,,,,,,,,,,,,,,0x6fb30220,0x6fac0660,0x6fb536a0,0x6fb21fd0,0x6fb1a890,,,,,,,0x6fb30220,0x6fac0660,0x6fb536a0,0x6fb21fd0,0x6fb1a890
func_25870,func_25870,2,0.9,,,,,,,,,,,,,,,,,,0x6fae6200,,,,,,,,,,,0x6fae6200,,,,
func_25871,CheckCoordinatesWithinBoundsAndMargins,2,0.9,,"BOOL CheckCoordinatesWithinBoundsAndMargins(int yCoord, int xCoord, int maxWidth, int maxHeight)",,,,,,,,,,,,,,,,0x6fadc210,0x6fb357e0,0x6fae0eb0,0x6fb5fac0,0x6fb59520,,,,,,,0x6fadc210,0x6fb357e0,0x6fae0eb0,0x6fb5fac0,0x6fb59520
func_25872,func_25872,2,0.9,,,,,,,,,,,,,,,,,,0x6fae6230,,,,,,,,,,,0x6fae6230,,,,
func_25873,func_25873,2,0.9,,,,,,,,,,,,,,,,,,0x6fb7c27d,,,,,,,,,,,0x6fb7c27d,,,,
func_25874,func_25874,2,0.9,,,,,,,,,,,,,,,,,,0x6fad2290,,,,,,,,,,,0x6fad2290,,,,
func_25875,func_25875,2,0.9,,,,,,,,,,,,,,,,,,0x6fad62b0,,,,,,,,,,,0x6fad62b0,,,,
func_25876,func_25876,2,0.9,,,,,,,,,,,,,,,,,,0x6fae22b0,,,,,,,,,,,0x6fae22b0,,,,
func_25877,GetEntityNestedStructureFieldValue,2,0.9,,DWORD GetEntityNestedStructureFieldValue(void * pEntityObject),,,,,,,,,,,,,,,,0x6fb222c0,0x6fb773e0,0x6fb75260,0x6fb77ae0,0x6fb761b0,,,,,,,0x6fb222c0,0x6fb773e0,0x6fb75260,0x6fb77ae0,0x6fb761b0
func_25878,func_25878,2,0.9,,,,,,,,,,,,,,,,,,0x6fad62d0,,,,,,,,,,,0x6fad62d0,,,,
