version,module_hint,address_hex,address_int,name,rel_file,line,signature,tag_rest
1.10f,D2Common,0x6FD45A00,1876187648,COLLISION_GetFreeCoordinatesImpl,source/D2Common/src/D2Collision.cpp,1555,"D2ActiveRoomStrc* __fastcall COLLISION_GetFreeCoordinatesImpl(D2ActiveRoomStrc* pRoom, D2CoordStrc* ptSpawnPoint, D2CoordStrc* pFieldCoord, int nUnitSize, unsigned int nMask, unsigned int nFieldMask, BOOL bAllowNeighborRooms, int nMaxDistance, int nPosIncrementValue) {",
1.10f,D2Common,0x6FD462B0,1876189872,COLLISION_GetFreeCoordinatesEx,source/D2Common/src/D2Collision.cpp,1810,"D2ActiveRoomStrc* __stdcall COLLISION_GetFreeCoordinatesEx(D2ActiveRoomStrc* pRoom, D2CoordStrc* pSpawnPoint, int nUnitSize, unsigned int nMask, int nPosIncrementValue) {",(#10137)
1.10f,D2Common,0x6FD751C0,1876382144,DRLG_IsTownLevel,source/D2Common/src/Drlg/DrlgDrlg.cpp,804,BOOL __fastcall DRLG_IsTownLevel(int nLevelId) {,
1.10f,D2Common,0x6FDA6790,1876584336,MONSTERS_ApplyClassicScaling,source/D2Common/src/Monsters/Monsters.cpp,1278,"void __stdcall MONSTERS_ApplyClassicScaling(D2UnitStrc* pMonster, BOOL bExpansion, uint8_t nDifficulty) {",(#11246)
1.10f,D2Common,0x6FDA69E0,1876584928,PATH_AStar_ComputePath,source/D2Common/src/Path/AStar.cpp,128,int __fastcall PATH_AStar_ComputePath(D2PathInfoStrc* pPathInfo) {,
1.10f,D2Common,0x6FDA6D50,1876585808,PATH_AStar_ExploreChildren,source/D2Common/include/Path/AStar.h,48,"BOOL __fastcall PATH_AStar_ExploreChildren(D2PathInfoStrc* pPathInfo, D2PathFoWallContextStrc* pContext, D2PathFoWallNodeStrc* a3, D2PathPointStrc tTargetCoord);",
1.10f,D2Common,0x6FDA6D50,1876585808,PATH_AStar_ExploreChildren,source/D2Common/src/Path/AStar.cpp,189,"BOOL __fastcall PATH_AStar_ExploreChildren(D2PathInfoStrc* pPathInfo, D2PathFoWallContextStrc* pContext, D2PathFoWallNodeStrc* a3, D2PathPointStrc tTargetCoord) {",
1.10f,D2Common,0x6FDA7230,1876587056,PATH_AStar_Heuristic,source/D2Common/include/Path/AStar.h,52,"int __stdcall PATH_AStar_Heuristic(D2PathPointStrc tPoint1, D2PathPointStrc tPoint2);",
1.10f,D2Common,0x6FDA7230,1876587056,PATH_AStar_Heuristic,source/D2Common/src/Path/AStar.cpp,221,"int __stdcall PATH_AStar_Heuristic(D2PathPointStrc tPoint1, D2PathPointStrc tPoint2) {",
1.10f,D2Common,0x6FDA7280,1876587136,PATH_AStar_GetNodeFromPendingCache,source/D2Common/include/Path/AStar.h,59,"D2PathFoWallNodeStrc* __fastcall PATH_AStar_GetNodeFromPendingCache(D2PathFoWallContextStrc* pContext, D2PathPointStrc tPathPoint);",
1.10f,D2Common,0x6FDA7280,1876587136,PATH_AStar_GetNodeFromPendingCache,source/D2Common/src/Path/AStar.cpp,262,"D2PathFoWallNodeStrc* __fastcall PATH_AStar_GetNodeFromPendingCache(D2PathFoWallContextStrc* pContext, D2PathPointStrc tPathPoint) {",
1.10f,D2Common,0x6FDA72D0,1876587216,PATH_AStar_FindPointInVisitedCache,source/D2Common/include/Path/AStar.h,63,"D2PathFoWallNodeStrc* __fastcall PATH_AStar_FindPointInVisitedCache(D2PathFoWallContextStrc* pContext, D2PathPointStrc tPathPoint);",
1.10f,D2Common,0x6FDA72D0,1876587216,PATH_AStar_FindPointInVisitedCache,source/D2Common/src/Path/AStar.cpp,280,"D2PathFoWallNodeStrc* __fastcall PATH_AStar_FindPointInVisitedCache(D2PathFoWallContextStrc* pContext, D2PathPointStrc tPathPoint) {",
1.10f,D2Common,0x6FDA7320,1876587296,PATH_AStar_MakeCandidate,source/D2Common/include/Path/AStar.h,67,"void __fastcall PATH_AStar_MakeCandidate(D2PathFoWallContextStrc* pContext, D2PathFoWallNodeStrc* pNode);",
1.10f,D2Common,0x6FDA7320,1876587296,PATH_AStar_MakeCandidate,source/D2Common/src/Path/AStar.cpp,297,"void __fastcall PATH_AStar_MakeCandidate(D2PathFoWallContextStrc* pContext, D2PathFoWallNodeStrc* pNode) {",
1.10f,D2Common,0x6FDA7390,1876587408,PATH_AStar_PropagateNewFScoreToChildren,source/D2Common/include/Path/AStar.h,71,"void __fastcall PATH_AStar_PropagateNewFScoreToChildren(D2PathFoWallContextStrc* pContext, int nUnused, D2PathFoWallNodeStrc* pNewNode);",
1.10f,D2Common,0x6FDA7390,1876587408,PATH_AStar_PropagateNewFScoreToChildren,source/D2Common/src/Path/AStar.cpp,317,"void __fastcall PATH_AStar_PropagateNewFScoreToChildren(D2PathFoWallContextStrc* pContext, int nUnused, D2PathFoWallNodeStrc* pNewNode) {",
1.10f,D2Common,0x6FDA7450,1876587600,PATH_AStar_GetNewNode,source/D2Common/include/Path/AStar.h,75,D2PathFoWallNodeStrc* __fastcall PATH_AStar_GetNewNode(D2PathFoWallContextStrc* pContext);,
1.10f,D2Common,0x6FDA7450,1876587600,PATH_AStar_GetNewNode,source/D2Common/src/Path/AStar.cpp,347,D2PathFoWallNodeStrc* __fastcall PATH_AStar_GetNewNode(D2PathFoWallContextStrc* pContext) {,
1.10f,D2Common,0x6FDA7490,1876587664,PATH_AStar_EvaluateNeighbor,source/D2Common/include/Path/AStar.h,79,"BOOL __fastcall PATH_AStar_EvaluateNeighbor(D2PathInfoStrc* pPathInfo, D2PathFoWallContextStrc* pContext, D2PathFoWallNodeStrc* pCurrentNode, D2PathPointStrc tNewPointCoord, D2PathPointStrc tTargetCoord);",
1.10f,D2Common,0x6FDA7490,1876587664,PATH_AStar_EvaluateNeighbor,source/D2Common/src/Path/AStar.cpp,373,"BOOL __fastcall PATH_AStar_EvaluateNeighbor(D2PathInfoStrc* pPathInfo, D2PathFoWallContextStrc* pContext, D2PathFoWallNodeStrc* pCurrentNode, D2PathPointStrc tNewPointCoord, D2PathPointStrc tTargetCoord) {",
1.10f,D2Common,0x6FDA78A0,1876588704,PATH_AStar_FlushNodeToDynamicPath,source/D2Common/src/Path/AStar.cpp,423,"signed int __fastcall PATH_AStar_FlushNodeToDynamicPath(D2PathFoWallNodeStrc* pNode, D2PathInfoStrc* pPathInfo) {",
1.10f,D2Common,0x6FDA7970,1876588912,PATH_IdaStar_6FDA7970,source/D2Common/include/Path/IDAStar.h,45,int __fastcall PATH_IdaStar_6FDA7970(D2PathInfoStrc* pPathInfo);,
1.10f,D2Common,0x6FDA7970,1876588912,PATH_IdaStar_6FDA7970,source/D2Common/src/Path/IDAStar.cpp,130,int __fastcall PATH_IdaStar_6FDA7970(D2PathInfoStrc* pPathInfo) {,
1.10f,D2Common,0x6FDA7D40,1876589888,PATH_IDAStar_VisitNodes,source/D2Common/include/Path/IDAStar.h,49,"D2PathIDAStarNodeStrc* __fastcall PATH_IDAStar_VisitNodes(D2PathIDAStarContextStrc* pContext, int nFScoreCutoff, D2PathInfoStrc* pPathInfo);",
1.10f,D2Common,0x6FDA7D40,1876589888,PATH_IDAStar_VisitNodes,source/D2Common/src/Path/IDAStar.cpp,203,"D2PathIDAStarNodeStrc* __fastcall PATH_IDAStar_VisitNodes(D2PathIDAStarContextStrc* pContext, int nFScoreCutoff, D2PathInfoStrc* pPathInfo) {",
1.10f,D2Common,0x6FDA8600,1876592128,D2Common_10142,source/D2Common/include/Path/Path.h,231,"D2COMMON_DLL_DECL int __stdcall D2Common_10142(D2DynamicPathStrc* pPath, D2UnitStrc* pUnit, int bAllowInTown);",(#10142)
1.10f,D2Common,0x6FDA8600,1876592128,D2Common_10142,source/D2Common/src/Path/Path.cpp,351,"int __stdcall D2Common_10142(D2DynamicPathStrc* pPath, D2UnitStrc* pUnit, int bAllowInTown) {",(#10142)
1.10f,D2Common,0x6FDA9A70,1876597360,PATH_SetVelocity,source/D2Common/src/Path/Path.cpp,936,"void __stdcall PATH_SetVelocity(D2DynamicPathStrc* pDynamicPath, int nVelocity, const char* szFile, int nLine) {",(#10146)
1.10f,D2Common,0x6FDAA880,1876600960,sub_6FDAA880,source/D2Common/src/Path/PathMisc.cpp,159,"BOOL __fastcall sub_6FDAA880(D2PathInfoStrc* pPathInfo, int* pTestDir, D2PathPointStrc pPoint, int* pDirection) {",
1.10f,D2Common,0x6FDAA9F0,1876601328,PATH_Toward_6FDAA9F0,source/D2Common/src/Path/PathMisc.cpp,266,int __fastcall PATH_Toward_6FDAA9F0(D2PathInfoStrc *pPathInfo) {,
1.10f,D2Common,0x6FDAABF0,1876601840,PATH_CheckCollisionsToNextPosition,source/D2Common/include/Path/PathMisc.h,34,"BOOL __fastcall PATH_CheckCollisionsToNextPosition(D2DynamicPathStrc* pDynamicPath, D2PathPointStrc* pGameCoord);",
1.10f,D2Common,0x6FDAABF0,1876601840,PATH_CheckCollisionsToNextPosition,source/D2Common/src/Path/PathMisc.cpp,339,"BOOL __fastcall PATH_CheckCollisionsToNextPosition(D2DynamicPathStrc* pDynamicPath, D2PathPointStrc* pGameCoord) {",
